game_id,player_id,event_id,result,x,y,PTS_TYPE,SHOT_DIST,CLOSE_DEF_DIST
21500002,202703,2,2,60.51924,13.67821,7.97250101969,30.4628349794,3
21500002,201567,4,1,7.41583,29.19886,4.38061047651,4.74766551986,2
21500002,201565,5,2,32.59763,41.22142,27.4811091284,31.8396701684,3
21500002,2590,7,1,41.23019,31.28951,11.9483997592,36.5750260079,3
21500002,2200,8,2,60.4149,33.66399,17.0799887357,29.6779147638,3
21500002,2544,521,2,84.31678,3.26052,13.771578314,22.1969424074,2
21500002,2544,11,1,14.19699,41.89722,2.51063660702,19.1431939025,2
21500002,203521,524,2,74.86632,46.89199,5.58093475414,25.9500802408,3
21500002,202703,13,2,59.01778,31.34175,7.39144341317,30.4499330244,3
21500002,202703,527,2,3.59001,47.09117,11.3601182248,22.1497598129,3
21500002,2544,16,2,20.54651,9.51276,6.68121722301,21.8029808053,2
21500002,2590,529,2,85.75412,2.01165,14.3379817902,23.1892565792,3
21500002,201565,18,1,76.07066,7.20263,4.23187998185,21.8810985956,2
21500002,2544,19,2,31.3174,13.31048,10.3306148468,28.6140430661,3
21500002,202389,20,1,28.62826,24.63496,8.38020227086,23.4311037049,2
21500002,201565,22,2,36.13631,19.12792,15.5733253781,31.4886741535,3
21500002,2544,24,1,11.08926,25.15079,4.96228775176,5.89119011505,2
21500002,202710,25,2,23.98029,25.1421,38.6610308829,18.7808275881,2
21500002,201567,27,2,9.86321,19.18642,2.19805573917,7.45273372129,2
21500002,202389,29,2,6.62989,28.76317,2.19075607424,4.02567185213,2
21500002,201567,30,2,9.86321,19.18642,2.19805573917,7.45273372129,2
21500002,2590,517,2,63.97721,27.28478,4.30519022318,24.9277179668,3
21500002,202710,33,1,86.92234,23.49698,3.32328679372,2.40513537997,2
21500002,2544,35,1,3.46609,30.61984,2.5716645135,5.88124523496,2
21500002,201565,36,2,57.23318,42.22033,11.88271541,35.9583632862,3
21500002,201567,549,1,85.15025,48.02799,10.9496677353,23.3154240472,3
21500002,201565,38,2,86.03195,47.14179,7.55658628547,22.3141427173,3
21500002,201567,552,1,74.03558,2.9478,8.25796616133,26.538417865,3
21500002,202710,41,2,76.27796,13.45302,2.66536111452,17.0333271231,2
21500002,2590,43,2,30.43558,6.98757,13.8336391239,31.0045501893,3
21500002,2544,556,2,65.53985,11.71159,4.78940126515,26.7883634877,3
21500002,2747,49,2,32.73138,31.88454,16.2758247622,28.3791080853,3
21500002,202703,51,1,62.22344,27.68851,11.0599781086,26.7121999741,3
21500002,2210,52,1,26.65216,37.40662,8.5172833382,24.7814323333,3
21500002,202703,53,1,67.03021,40.84279,7.31913810911,26.9242966784,3
21500002,202389,54,2,9.87942,29.39851,1.74927523535,6.42213840995,2
21500002,201567,63,2,26.60012,28.11058,9.60001713499,21.6250050624,2
21500002,202734,65,2,67.99614,3.29833,8.28736123564,30.0626524393,3
21500002,2590,67,2,26.77553,31.21944,6.13587147265,22.4540626323,2
21500002,202703,69,1,86.06061,16.30744,10.9937990328,9.11399237029,2
21500002,202684,73,2,23.68918,24.71959,11.231175043,18.4913062502,2
21500002,203521,78,2,35.90992,13.302,4.43008826256,32.8624769366,3
21500002,201166,84,2,59.96957,27.50975,5.74257744266,28.9394633511,3
21500002,202684,86,2,14.24252,31.02904,3.27057946537,10.8681411139,2
21500002,201959,88,2,84.30764,36.42291,2.12987681224,12.2745334428,2
21500002,203503,94,2,75.65044,-0.89256,7.48936151779,29.0402409003,3
